Pathway,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
Hippo signaling pathway,-0.5095106,-0.1693467,-0.53766596,0.70940375,-0.3687226,-0.2857791,-0.057927925,-0.12914927,-0.63873196,0.099824324,0.0703538,-0.5186937,-0.10138024,0.30864874,-0.10413835,0.05967349,-0.19315453,-0.048934978,0.005069763,0.34754962,0.11965078,-0.08836722,0.302247,-0.30671135,0.15160273,0.12916826,-0.006149625,0.32276195,-0.3961475,-0.28388742,0.22272277,-0.042698156,0.29287094,0.19453254,0.1708709,0.11790341,-0.09995165,-0.43571162,0.148999,0.05441643,0.11085384,0.0057133846,-0.047899444,0.19503102,-0.49302655,0.044926096,-0.1488489,0.29316652,0.25643677,0.4432854,0.7311789,0.0020667103,0.3329854,0.021600612,0.10603083,-0.36483178,0.14860022,-0.30430436,-0.14863797,0.40454924,-0.4117705,0.054916516,-0.12110536,-0.36176178
Pancreatic secretion,0.03721472,-0.0343122,0.10413466,0.031029135,-0.23050722,-0.09978562,0.14415176,0.21764512,-0.65890324,-0.048912454,0.51216364,-0.53972584,0.35022002,-0.08757656,-0.22987784,0.44830582,0.01474934,-0.058170263,0.41197962,0.61305,0.18360867,0.30155864,-0.39950746,-0.18045008,0.13598312,-0.33064076,0.15386875,-0.07496348,-0.18690902,-0.4349071,0.5930381,0.2271017,-0.016589127,0.32993928,0.0635623,0.06308954,0.19875588,-0.17229684,0.39469615,0.20953722,0.004622977,-0.14184898,0.45030195,-0.018957067,0.090075895,0.37995,0.5001406,0.28185382,0.16667566,0.1642963,0.74722064,-0.29482767,0.48384058,0.08120522,0.56516016,-0.4193204,0.4991215,-0.4578173,-0.17611496,-0.062508516,0.22500853,-0.15964444,-0.45203453,0.033281386
Hepatitis C,0.38562533,-0.51059055,0.007173967,0.5013063,-0.38751698,0.27187946,0.029963877,0.37034118,-0.40140948,0.034262385,-0.14988838,-0.39437917,-0.5417871,-0.03836349,-0.36720923,-0.028624143,0.0014030371,-0.2896427,-0.31867123,0.17772014,0.26477656,0.8209356,0.582224,-0.74585384,0.1302452,0.093167044,-0.025613392,0.14714545,0.25079837,-0.740233,0.04383508,-0.41343504,0.45179713,0.5544511,-0.4477386,0.48175472,-0.20156428,0.036316924,-0.43941084,-0.16306122,-0.35216144,-0.14434464,0.56571865,-0.40626013,0.71463037,0.29850242,-0.122030295,-0.023326747,-0.43765262,0.08609069,0.03259799,0.11598092,0.42846194,-0.5257396,-0.25265604,0.009080424,0.20316643,-0.10954779,0.3982068,0.12764469,-0.39485437,-0.048703186,0.33432335,0.4656748
Human immunodeficiency virus 1 infection,0.06568373,-0.633491,0.06317377,0.49301586,-0.5654539,0.3278776,0.10828826,-0.19869144,-0.7304619,0.19264092,-0.30102018,-0.2966709,-0.46740812,0.32642537,-0.30322498,0.025355723,-0.11345287,-0.2990587,-0.061576635,0.44565773,0.40093347,0.5037161,0.5383485,-0.9769329,0.28366426,-0.010793281,0.13150252,0.08143793,0.3980075,-0.36121964,0.030778794,-0.3863076,0.28430358,0.41114736,-0.6734171,0.27719262,-0.097390175,0.1623708,-0.32502043,-0.5064466,-0.14630339,0.018517828,0.46252567,0.014851096,0.30108237,0.23254915,-0.15842663,0.10972417,0.20738584,0.22757608,-0.29634005,0.13934396,0.24783078,-0.36434266,0.027845075,0.09937909,0.20823862,0.10882626,0.24123847,0.088244535,-0.67774296,-0.17766786,-0.16377354,0.45324814
Measles,0.24886036,-0.6844004,0.11604759,0.62704897,-0.30827466,0.456192,-0.06178544,0.046652723,-0.22114956,-0.085371844,-0.07252793,-0.2951668,-0.6552775,-0.21948214,-0.3701978,0.093601055,-0.042242285,-0.20746295,0.025308462,0.26537952,0.49813452,0.78968835,0.57368064,-0.74457735,0.18076256,-0.0338244,-0.04426963,0.08592888,0.18476607,-0.59034747,-0.020487666,-0.23247747,0.5519347,0.19419752,-0.42410162,0.3968659,-0.07167077,-0.084742606,-0.19852212,-0.41804355,-0.17524846,-0.08668986,0.5175604,-0.1863627,0.6768282,-0.0104199145,-0.17470111,0.09498072,-0.43331724,0.3202402,-0.06789425,-0.019042462,0.19457385,-0.5457347,-0.058451675,0.050313547,0.32589015,0.0014844951,0.25490987,0.3337554,-0.33093888,-0.07063337,0.38194075,0.50149673
Fatty acid degradation,0.3897697,0.043327432,-0.67424804,0.7736582,-0.17526704,-0.050117236,0.30705747,-0.759281,-0.56245804,-0.721369,0.9035925,-0.4496687,-0.11767818,0.03708615,0.28155538,0.85866797,-0.71778905,-0.5001393,-0.06548237,0.88984126,-0.10414826,1.7036912,0.5127546,-0.7027662,-0.10404011,-0.23439954,-0.69551176,0.7295181,0.8501147,-0.3948268,0.23731664,0.16576709,-0.06357253,-0.6288271,0.35679716,-0.51349664,0.06331557,-1.037361,-0.13185523,0.8827152,-0.40747073,-0.7239564,0.7903344,0.33468562,0.3519881,0.07865776,0.023891635,-0.5356576,0.23391096,1.2463908,0.26015308,0.26228923,0.7881402,0.4957705,-0.41581625,0.06823323,0.598812,-1.0693954,0.5101518,0.511911,-0.262789,-0.38447767,0.27254117,0.35049835
beta-Alanine metabolism,0.36371344,0.0579444,-0.70073247,0.8077113,-0.28112006,-0.1494252,0.35120767,-0.6364492,-0.4681087,-0.70065916,0.8359787,-0.48329094,-0.2904009,0.08970536,0.1609982,0.80789036,-0.738476,-0.50148207,-0.18786132,0.9994614,-0.1491546,1.6959141,0.56902754,-0.7861121,-0.13992317,-0.3330256,-0.74727976,0.7428352,0.86345863,-0.355399,0.21384622,0.2699213,-0.09443427,-0.5457825,0.2800868,-0.5038025,-0.11640239,-1.0805353,0.17370841,0.8957104,-0.40248504,-0.7727731,0.7751061,0.3243772,0.2931788,0.11459386,-0.025391765,-0.3845663,0.18040292,1.3360134,0.124618344,0.100693755,0.61456084,0.49520814,-0.4386749,-0.004830921,0.40595028,-1.1333578,0.55620223,0.41329423,-0.20942013,-0.46147653,0.3728129,0.45663282
Fc gamma R-mediated phagocytosis,-0.038928755,-0.6541663,0.120089106,0.26300094,0.060889542,-0.49698484,0.107997686,-0.3766717,-0.5061279,0.16594122,-0.552557,-0.42297226,-0.6412625,-0.11689523,-0.16235387,-0.1916625,-0.18549678,-0.12607253,0.17194654,-0.11779819,0.28679818,0.039633848,0.19352181,-0.075673044,0.48331234,0.17058186,-0.24793637,-0.2793584,-0.688828,-0.44395906,0.20120427,-0.26945698,0.26048106,0.28058937,0.011913188,0.0010630011,0.28638968,-0.24588993,-0.17070584,0.1991641,-0.39837047,0.4195491,-0.10414047,-0.20765251,-0.21446644,-0.2546738,0.2310859,0.08845986,0.023109876,0.4615333,0.7838815,0.18762954,0.5058666,-0.01602046,-0.28310275,0.38915583,0.088881575,-0.14177385,0.2649968,0.12944485,-0.7189076,-0.52875847,0.67777544,-0.009646763
Gap junction,-0.421562,-0.15807708,-0.6705704,0.37505603,-0.44316176,-0.2743119,0.07209056,-0.03438201,-0.61428565,0.017311007,0.01104039,-0.20368773,0.079220004,0.37635532,-0.1454295,-0.07396072,-0.0485199,-0.070220664,0.11289055,0.62033814,0.033552967,-0.06260159,-0.047749102,-0.1659713,0.111436374,0.00471943,-0.05035709,-0.0032870853,-0.20250766,-0.51220846,0.17616653,0.008379029,-0.027152518,0.41569635,0.01623469,-0.09022355,0.21513633,-0.270421,0.2706479,0.022207724,0.001171338,-0.19895723,-0.22397387,0.37663907,-0.27461043,-0.24484658,0.19915242,-0.059416294,0.060392976,0.12891857,1.1083459,0.013619097,0.296176,0.054431714,0.07758782,-0.1834023,0.46329814,-0.1950937,0.014334696,0.40258875,-0.124366686,-0.24727769,-0.1335355,-0.18602014
Melanoma,-0.67223,-0.25434047,-0.6811448,0.3510495,0.078038074,-0.23087214,-0.26298797,0.13395284,-0.66564566,0.08566217,0.06292337,-0.38905168,-0.34337088,0.4877881,-0.1701777,0.18218583,-0.10000077,-0.43668446,0.062089566,0.25907046,-0.09373704,-0.17581612,0.45068762,-0.3183438,0.45418188,-0.14736821,-0.014977743,0.16103742,-0.30083194,-0.13438003,0.18,0.098334566,0.14073743,0.32169867,0.00798607,-0.06579864,0.08796424,-0.11562202,0.24184276,-0.019301564,-0.20372555,-0.21969637,-0.45024818,0.06351416,-0.075437255,-0.12418335,0.3003467,0.28335676,0.4687716,0.44358316,0.85675484,0.01398798,0.18734802,0.118581295,0.04673271,-0.3215809,0.16638975,-0.25423282,-0.01854974,0.5082841,-0.13322891,-0.2917118,-0.3636313,-0.20935565
Rap1 signaling pathway,-0.4467252,0.075024396,-0.63384444,0.048371714,-0.22389351,0.075621024,-0.4404681,0.08871283,-0.490796,0.043112867,0.1907725,-0.05323967,-0.20953164,0.291838,-0.22104542,-0.1939924,-0.030978382,-0.1681769,0.29593584,0.15800026,0.16564247,0.0067012967,0.058249775,-0.19210863,0.18604946,0.27204514,-0.059487496,0.19088283,-0.26154345,-0.46493673,0.41787812,-0.3039642,0.31105644,0.32487455,-0.018626079,-0.20322327,0.25365803,-0.56321186,0.30477956,0.10467004,0.18782112,0.33949548,-0.25711423,-0.08689611,-0.220218,-0.13190533,0.07168177,-0.024729589,0.023067828,0.26169607,1.0918865,-0.15939076,0.42253152,-0.013421083,0.13337682,-0.5177311,0.23471813,-0.38719848,0.04313086,0.30444604,-0.089090414,-0.10815867,-0.21145365,-0.19713822
Ras signaling pathway,-0.47333226,-0.052023433,-0.5852792,0.29151723,-0.23165992,0.15520482,-0.108211435,0.31018955,-0.634752,-0.1633154,0.09369263,-0.14081499,-0.23019998,0.25496617,-0.23317178,-0.009361945,-0.23481108,-0.1396613,0.14780681,0.18524162,0.14927931,-0.03501984,0.09494404,-0.029824983,0.1537102,0.20916413,-0.12579012,0.3185622,-0.5684455,-0.37884897,0.416781,-0.026381671,-0.03188547,0.22362141,0.0061317324,-0.10639153,0.43209895,-0.2840637,0.05874335,0.4256781,0.117974095,0.20396852,-0.34209946,-0.17717348,-0.44516823,-0.053502172,-0.04093925,0.044646613,0.018742511,0.32745904,1.0075749,-0.13044482,0.29921025,0.33003962,0.23974538,-0.4409167,0.14141221,0.004015447,0.0551538,0.34842333,-0.24842039,-0.27849987,-0.11926898,-0.17477855
GABAergic synapse,0.36608225,0.27027038,-0.10240491,0.6366688,0.3876376,-0.30673373,0.37751928,0.85471344,-1.3469458,-0.50009996,0.8420078,-0.32494432,-0.28299984,0.17411277,0.44665468,0.76786894,-0.15429637,0.16062889,-0.35426453,0.36378404,0.5579247,1.1025186,-0.52557147,-0.12335811,0.32366636,0.034210786,-0.24511564,0.5018246,0.55313575,-0.48051214,0.047018852,-0.2857664,0.09548649,0.0674285,-0.19578332,-0.29133314,0.4859563,-0.10393884,0.85341233,-0.1181898,0.07160767,0.21198902,-0.092194825,0.13541852,0.39418933,0.12538259,0.5546604,-0.22588986,-0.47903055,0.1258174,0.72167546,-0.13092813,0.022806682,-0.084138066,0.25266817,-0.35991535,-0.3620785,-0.7680479,0.016477033,-0.24596965,-0.01778641,-0.6547203,-0.3735195,0.6411734
Morphine addiction,0.305495,0.29667285,-0.06891968,0.7345033,0.26403534,-0.24485494,0.2625264,0.85062563,-1.1904334,-0.19460772,0.7346143,-0.24704014,-0.40406087,0.12942325,0.45133415,0.7171942,0.12185634,0.08310063,-0.41658136,0.53190476,0.6568599,1.0613633,-0.6532588,-0.30576172,0.20402966,-0.02882294,-0.2902464,0.5893883,0.4935638,-0.37379393,0.020474328,-0.322059,0.062949315,-0.026009362,-0.2640606,-0.4726904,0.5539808,-0.06853764,0.77193916,-0.006363601,0.09783266,0.29658818,-0.06094599,0.027101018,0.30341625,0.17438464,0.6155434,-0.15861782,-0.4529803,-0.036514927,0.9499315,-0.3058841,0.14933068,-0.0044414713,0.21420957,-0.29495084,-0.4462502,-0.7251816,-0.18115874,-0.27169004,0.030077659,-0.31208858,-0.22569034,0.62046176
Signaling pathways regulating pluripotency of stem cells,-0.5300069,-0.47196218,-0.45820898,0.67291987,-0.13580358,-0.45421192,0.14203836,-0.04918642,-0.6603759,0.3320178,0.12675533,-0.333759,-0.044532266,0.19047873,-0.0066534705,-0.18137345,-0.35855153,0.210023,-0.2979661,0.48729405,0.049258076,0.06593058,0.5077768,-0.36118776,0.15471885,0.15730974,0.34144545,0.053621992,-0.48802724,-0.16226651,0.556452,0.021213481,0.34244576,0.30982986,-0.035318777,0.19267212,-0.0021934002,-0.52450174,0.04968615,-0.20200494,-0.086330004,0.18912232,0.09995347,0.3039476,-0.38052502,0.11197061,-0.22686729,0.25771135,0.22958443,0.5082436,0.87917787,0.13077675,0.22726382,0.06990966,0.11960045,-0.49926233,-0.108881734,-0.4813835,-0.08701121,0.48600632,0.18698445,0.27028176,-0.11510679,-0.42508802
Glioma,-0.8842032,-0.47555503,-0.7574398,0.55747855,0.11608493,-0.45312977,-0.6244117,0.21435018,-0.52119064,-0.43924293,0.2841489,-0.732913,-0.34953794,0.06992158,0.11440899,0.44499007,0.08659633,-0.27493858,0.0827862,0.27209574,-0.5396061,-0.008942065,0.35666686,-0.61886716,0.5782333,-0.017445982,0.1360608,0.08060101,-0.073048525,-0.13772427,0.030034091,0.034715317,-0.12182461,0.17598549,-0.021390088,-0.23007861,0.28334993,-0.40698004,0.25579575,0.022903048,-0.4179668,-0.20964955,-0.5474834,0.039398436,-0.07839497,0.14846478,0.22186941,0.19669192,0.44120076,-0.013886168,0.9653248,0.015999645,0.19022882,-0.028185839,-0.027171794,-0.21430078,0.20002949,0.12395877,-0.032986157,0.67320395,-0.16029085,-0.07973711,-0.41246617,-0.20775023
Glucagon signaling pathway,-0.2028782,0.08730891,-0.16555335,0.12066138,-0.33575436,0.17975828,0.3663546,0.124380425,-0.51721466,0.067578346,-0.04236345,-0.18933333,-0.21937251,-0.046632495,-0.21591659,0.32142693,0.23417847,0.19758691,9.655648e-05,0.29347733,0.3809154,0.85508156,-0.1662483,-0.1299333,0.44013426,0.25717238,-0.6044105,0.097190365,0.072441265,0.011296635,0.6125494,-0.047287136,0.010922644,-0.29319853,-0.38321882,-0.16005757,0.55205226,-0.008573837,1.180778,0.58021086,-0.2181321,-0.38364297,0.5351595,0.021610122,-0.31296524,0.27275684,0.23464327,0.3363512,-0.52433264,-0.2694684,0.7832488,-0.56199455,0.8033495,-0.060608022,0.06922476,-0.47998187,0.031050755,-0.68499017,0.12009638,0.19172354,0.49881083,-0.4250748,-0.48293102,0.25585267
Retrograde endocannabinoid signaling,0.22622293,0.16678138,-0.06506059,0.4441351,0.26931858,-0.264381,0.20935906,0.53862774,-1.1818807,-0.27597785,0.6312566,-0.1609136,-0.36786842,0.11005353,0.33326715,0.6553723,0.012545178,0.22910538,-0.16498601,0.4899417,0.5987188,0.9078866,-0.6495701,-0.04307772,0.04004978,0.10394163,-0.31851682,0.5278858,0.35499245,-0.4467555,0.19852199,-0.28301573,-0.0072527123,-0.0399874,-0.18508007,-0.27013543,0.5035369,-0.07087998,0.8655354,-0.080354266,-0.055532645,0.063614845,-0.0321702,0.21586604,0.24797039,0.34868535,0.57749087,-0.15704402,-0.4869492,0.06815554,0.7846364,-0.027156077,0.13036805,-0.10956586,0.23437448,-0.41680923,-0.39007866,-0.6849681,0.037701752,-0.10973001,0.0899948,-0.4744806,-0.39727494,0.30895987
Glyoxylate and dicarboxylate metabolism,0.06837919,-0.25459158,-0.9044409,0.7761172,-0.3168578,0.57321024,-0.41084683,0.46671125,-0.45505112,-0.4050501,-0.16561285,-0.83722144,-1.0460203,0.21712992,-0.40313205,0.45498407,-0.36696953,-1.1450344,-0.09447692,0.21926449,1.1724935,0.44486645,-0.18085074,0.14104553,0.21906045,-1.0345063,-0.05352981,-0.97315407,0.12934172,-0.666993,-0.55968124,-0.5678774,0.1873739,0.23915848,-0.20917572,0.5021532,0.24486494,-0.8292748,0.9152098,1.0367377,-0.019155495,0.08295579,1.4455532,0.2954212,-0.15847315,0.05065166,0.65611386,0.49467883,-0.3392734,0.58646446,0.27367008,-0.17510372,0.76892495,0.66759455,0.35806826,-1.0971386,-0.5509004,-1.4198598,0.5718607,0.55916035,-0.04461826,0.5180885,1.02897,0.67352325
Pyruvate metabolism,0.15871498,-0.1892116,-0.8055443,0.84915596,-0.18073772,0.5322045,-0.5376663,0.558739,-0.63464487,-0.20122106,-0.20956452,-0.87533385,-0.90581805,0.26182917,-0.49547017,0.43831632,-0.489231,-1.1497904,-0.003991322,0.27201572,1.2643157,0.31416324,-0.2054344,0.08303114,0.23570111,-1.1055957,0.035641372,-0.99444336,-0.064006165,-0.52249163,-0.59400094,-0.6190221,0.086437784,0.27158678,-0.47374916,0.49009916,0.28852087,-0.7330888,0.88438463,1.0566822,-0.1634488,-0.07348446,1.3254498,0.36685243,-0.25315198,-0.11385649,0.6085338,0.29127854,-0.36315438,0.69207394,0.16447997,-0.26802862,0.84809345,0.549873,0.28404084,-1.0916454,-0.6870972,-1.334463,0.3991857,0.54572487,-0.063187435,0.66457266,0.9926221,0.57586503
Hedgehog signaling pathway,-0.17541079,0.22990799,0.29756978,0.16089293,-0.4253491,-0.14636458,0.107406765,0.38854593,-0.68971807,-0.009146453,0.6674741,0.03794619,0.20524451,-0.05717425,-0.35175547,0.45032468,-0.36841422,-0.2525267,0.6836692,0.5327879,0.35776365,0.50487983,-0.186805,-0.07475669,0.08841314,-0.37342182,-0.58432525,-0.38219917,0.09395748,-0.17939164,0.45746255,0.15258092,0.10570378,0.24209568,-0.20558563,0.18833677,0.6017836,0.026280688,0.4754234,0.7275539,0.34186646,-0.0053981785,0.49105924,0.7287948,-0.14053923,0.47716895,0.25842333,-0.14468446,0.37260392,-0.021203753,1.0264287,-0.17843585,0.3979812,-0.26014787,0.3627719,-0.26338616,0.17900507,0.03970337,0.04840838,0.13259885,0.18122855,0.2574696,-0.2987681,0.4018741
Neurotrophin signaling pathway,-0.26363432,0.23314767,0.20921035,0.34116682,-0.51299185,-0.20275576,0.13977537,0.36867958,-0.6262111,-0.09196831,0.60708404,-0.16404574,0.06761303,-0.26084328,-0.33330688,0.32750806,-0.114806145,-0.034297783,0.48190975,0.20809327,0.3689237,0.6791394,-0.28762653,0.12442494,0.09344823,-0.5118391,-0.42363775,-0.06723921,0.31985945,-0.108707346,0.6493739,0.2009408,0.002048714,0.43211535,-0.2052363,0.14329869,0.48758596,-0.052795865,0.8349496,0.6498983,0.022746937,-0.05186388,0.0967113,0.6518088,-0.07615049,0.47557804,0.09670154,0.005619361,0.23002689,0.1966097,0.763596,-0.086700946,0.47214204,-0.22681081,0.39891604,-0.30406168,0.38335028,-0.18366106,0.16947919,-0.16854377,-0.04350492,-0.003025157,-0.12823991,-0.04861938
Prolactin signaling pathway,-0.093114965,0.21866629,0.19770877,0.31662238,-0.5670194,-0.14305176,0.27350166,0.46991134,-0.500953,-0.083914936,0.5970563,-0.12541091,0.028229527,-0.25442874,-0.37283045,0.24873425,-0.09243561,-0.025836956,0.59767133,0.29156253,0.3089747,0.6696352,-0.2205135,-0.008981686,0.15131134,-0.34806386,-0.48131496,-0.15993927,0.13536724,-0.16597141,0.5720915,0.2052979,0.041457243,0.4194811,-0.28790036,0.19153349,0.4633803,-0.0857699,0.6619929,0.6627493,0.13419335,-0.27182606,0.16611716,0.62553835,-0.074293524,0.29245043,0.015790444,-0.064668894,0.35209125,0.21141861,0.8380502,-0.2499139,0.35360467,-0.18711326,0.6353362,-0.23354611,0.4797603,-0.19735484,0.21408948,-0.10927923,0.044428825,-0.100203775,-0.20028947,-0.02233327
Type II diabetes mellitus,-0.05049445,-0.010735043,0.507782,0.09451605,-0.22509216,-0.09394018,0.12084701,0.34018928,-0.7859732,-0.24345107,0.70084906,-0.12839964,0.39629143,0.064597405,-0.26419422,0.69382167,-0.11370621,-0.27581924,0.45671037,0.4125097,0.5513708,0.3815372,-0.02761066,0.08389759,0.25722036,-0.2536222,-0.56726086,-0.2560557,0.13787653,-0.26550728,0.5102327,0.20508301,0.2516613,0.44965282,-0.24193075,0.16634874,0.5171885,-0.09857496,0.45471722,0.5248193,0.04739838,-0.36984587,0.31655255,0.73020816,-0.12409593,0.67817855,0.14429021,0.06241466,0.27646375,0.24058247,0.7283482,-0.32712522,0.46670264,-0.18182164,0.44265366,-0.4373616,0.45467442,0.06689974,0.11992091,-0.052415237,0.18584004,0.33093005,-0.34309268,0.10803952
Histidine metabolism,0.40278062,0.04310844,-0.6997008,0.7584308,-0.18975459,-0.042416032,0.3196428,-0.76725835,-0.5692733,-0.72698164,0.91245335,-0.4281244,-0.110242054,0.01050444,0.26466113,0.85651606,-0.70783645,-0.49041378,-0.056034874,0.8761872,-0.122069724,1.6971754,0.5001932,-0.70617044,-0.094430454,-0.23744738,-0.7104269,0.7419568,0.8341458,-0.37415966,0.2618198,0.14587194,-0.07236323,-0.6485822,0.3680187,-0.5097055,0.07057252,-1.0335604,-0.14769362,0.88098925,-0.3993225,-0.7230159,0.7799491,0.32233724,0.3611097,0.05966076,0.023981927,-0.5447565,0.21813968,1.241169,0.2495349,0.2593064,0.7911153,0.5026714,-0.41282958,0.081475325,0.5943763,-1.0573955,0.49788827,0.51560134,-0.26781794,-0.39111355,0.2657376,0.3705974
Thermogenesis,0.08462706,-0.20724638,-0.73660046,0.3735389,-0.5536976,-0.5381509,0.6606124,0.13165474,-0.9693041,0.24543934,0.5052906,-0.7297813,-0.28555113,0.0060970727,-0.23898439,1.2112064,0.23934501,-0.36836702,-0.17013459,-0.3495455,0.7498595,0.6906048,-0.23133586,-0.37659016,0.030145632,0.1777472,-0.100722,-0.3033274,0.89268416,-0.17066045,0.029770797,-0.16731381,0.0433453,-0.13945235,-0.6789651,0.06543965,0.86914635,-0.7844892,-0.12738748,0.2745869,0.20106101,-0.041814987,0.46557486,-0.47288918,0.5264335,-0.46268612,-0.26855883,0.006657799,0.65990233,1.0734221,0.062736884,0.12376605,0.7611197,0.28188032,-0.29524305,-0.84416825,-0.06472037,-0.06860884,0.06737999,0.3585469,0.5051612,-0.013161259,0.72385734,0.31907225
IL-17 signaling pathway,0.26904178,-0.69240475,0.09883315,0.33961,-0.3138626,0.48519158,-0.32856828,0.19579244,-0.61453575,0.101293705,0.0067695426,-0.16378307,-1.090629,0.1938846,-0.88399214,0.24335273,-0.6538364,-0.1900035,-0.033091955,-0.07057519,0.25239754,0.68631625,0.032722168,-0.5894197,-0.20745158,-0.13125278,-0.16059636,-0.09667621,-0.21629292,-0.51270235,0.012292829,-0.17925744,-0.078544654,0.11024347,-0.6547249,-0.10890267,0.027610844,0.2500905,-0.10593003,0.40580413,0.3185534,0.33433488,0.22204778,-0.27053976,0.19599484,0.08471142,-0.37068394,-0.23782498,-0.08863122,0.17069322,-0.025192743,0.05975471,0.07589928,0.05448422,0.17865618,0.40632075,0.11643246,0.033489607,-0.48789775,0.25611407,-0.3228022,0.14551397,0.7989586,0.43853882
Inositol phosphate metabolism,0.009531893,0.015767448,-0.002460004,0.049354088,-0.11171244,0.12263891,0.31098667,0.494584,-0.351653,-0.014514275,0.31958982,-1.2519355,0.11458094,0.030405791,-0.050341457,0.8017731,-0.12370293,-0.103556305,0.3551013,0.39635107,-0.062633626,0.58892393,-0.30032557,0.0455638,-0.072703816,-0.25074577,0.08745122,-0.29840976,-0.05140596,-0.38150874,0.7063607,-0.29707983,-0.05949736,0.021700028,-0.15397596,-0.16964051,0.08192854,0.096922,-0.15315793,-0.111161605,-0.20918535,-0.343855,0.6641078,0.20235558,-0.2532621,0.42959175,0.7342267,0.22289091,0.35053003,0.19972517,1.147293,-0.35901022,0.5823331,-0.22738652,0.6098091,-0.4927884,0.104250155,-0.57789433,-0.051350426,-0.06931706,0.10765823,-0.12591866,-0.61201066,-0.23484322
Legionellosis,0.3402999,-0.5485546,0.27419382,0.5797803,0.070986606,0.20133115,0.11223987,-0.43858153,-0.65395796,0.023521455,0.061173245,-0.44056627,-0.87255764,0.16517359,0.24165799,0.21352984,0.17098653,-0.3454563,-0.28634983,0.11538943,-0.31357032,0.8502008,0.13549682,-0.5787582,-0.11756185,0.102168985,-0.25427434,-0.027822271,-0.37902132,-0.70536864,0.29115668,-0.23193596,-0.31065953,0.21641119,-0.3916197,0.2150486,-0.103819735,-0.04846238,-0.074134134,0.022435155,0.01266747,0.2689252,0.7245828,-0.057894967,0.3784299,-0.21888481,-0.1296597,-0.0022431975,-0.51386815,0.64389217,0.46478823,-0.36888888,0.0501925,-0.33491227,0.1379382,0.6118129,-0.10546621,0.3464648,0.1466291,0.0606997,-0.57846576,0.11398655,0.67766553,0.37093094
Pathogenic Escherichia coli infection,0.042172097,-0.6898528,0.30405524,0.33452642,0.0854518,-0.57275873,-0.11839177,-0.38954145,-0.5923912,0.13950054,-0.5502342,-0.38959026,-0.6730627,-0.016202012,-0.05644395,-0.11775235,-0.32550153,-0.04338639,0.11633213,-0.19580844,0.24194343,-0.056337696,0.105066985,-0.37767053,0.51863587,0.071581945,-0.25692064,-0.19448508,-0.5941041,-0.44039637,0.3419267,-0.3349168,0.3616947,0.36869252,0.04676991,0.02822451,0.4124809,-0.3163543,0.04274189,0.25903672,-0.4039906,0.5005723,-0.1500341,-0.14949398,-0.16012146,-0.27305037,0.27695444,0.4091965,-0.061908804,0.40450555,0.5354881,0.21121588,0.38700104,-0.013116231,-0.3402587,0.16653566,0.049436186,0.115570255,0.26115945,0.16130368,-0.53971493,-0.5521021,0.61820453,0.060383573
Linoleic acid metabolism,-0.28751904,-0.90092134,-1.0455743,0.13904509,0.050545473,0.8704389,-0.08606195,0.26759854,-0.9226873,-0.5112926,0.16335924,-0.5327269,-0.18789808,-0.42176664,0.7908565,1.6528957,0.22625239,-0.6115709,0.6867763,0.69098735,0.73582363,1.3690041,-0.5761831,-0.11679166,0.7716221,-0.26355913,-0.15600136,-0.67638016,-0.039411377,-0.9792806,-0.22015798,-0.54822654,-0.09038062,0.5877826,-0.60293686,0.6383719,1.1620932,-0.3162707,0.82290626,0.53327805,0.32297847,0.071412526,-0.29466292,0.45728534,1.1613435,-0.2168645,0.19427398,0.089104466,0.4003134,0.39959762,0.2826127,0.208374,-0.26750344,0.39510736,0.4966389,-0.968966,0.47525847,-0.34925163,-0.6896593,0.817364,-0.37571365,-0.2594133,1.3775908,-0.24410003
alpha-Linolenic acid metabolism,-0.28137928,-0.96909326,-0.9694591,0.087834485,0.12557748,0.7954083,-0.20015396,0.06571048,-0.93848,-0.47823435,0.22279307,-0.7342365,-0.17594549,-0.22711028,0.7957569,1.5254376,0.059463628,-0.5137489,0.8669335,0.7369212,0.754846,1.3810265,-0.6573249,-0.0119228065,0.7316032,-0.25218233,-0.08696414,-0.59822387,0.0924836,-1.1610498,-0.29227874,-0.5592606,0.16001157,0.68483585,-0.7565704,0.5693802,1.1150781,-0.2070202,0.7013552,0.544036,0.33219314,-0.12864089,-0.3969723,0.52671456,0.99878514,-0.39805666,0.17116919,0.08670731,0.5353496,0.35617217,0.13293098,0.072199926,-0.31084475,0.43538135,0.48303285,-1.071466,0.43152407,-0.6098921,-0.55259204,0.7623241,-0.14525926,-0.23088877,1.3432517,-0.1405715
