pathway,cluster1,cluster2,pvalue,effect_size,adj_p
Glyoxylate and dicarboxylate metabolism,0,1,1.759343462753305e-08,0.019814672854036763,2.912016765936505e-08
Staphylococcus aureus infection,0,1,1.7837681174448783e-08,-0.02833446603556017,2.947362121767785e-08
Renin-angiotensin system,0,1,1.8062178534217278e-08,0.03721661454163573,2.9793284180152214e-08
Salivary secretion,1,2,2.16282864669822e-08,0.016726014039939563,3.560054426193625e-08
Alcoholism,0,1,2.1694081659617403e-08,-0.01684483057225529,3.560054426193625e-08
Bladder cancer,0,2,2.165779535964705e-08,-0.017774785815455496,3.560054426193625e-08
Morphine addiction,1,2,2.1875885213188124e-08,0.014148000522647627,3.583762765300443e-08
Hepatitis B,0,1,2.3827074864415012e-08,-0.009832438843068753,3.896761817689678e-08
Synthesis and degradation of ketone bodies,0,2,2.4886423141613755e-08,0.03797714273744776,4.063089492508368e-08
Synaptic vesicle cycle,1,2,3.112283764331418e-08,-0.01570449295153966,5.072652654937456e-08
Retrograde endocannabinoid signaling,0,1,3.33209524156427e-08,0.009100932063629205,5.4217142913588125e-08
Huntington disease,1,2,3.690156304425735e-08,-0.007388497800237148,5.99416252495551e-08
Leishmaniasis,0,2,3.9746903502200194e-08,0.02458981325680404,6.445443811167599e-08
Epithelial cell signaling in Helicobacter pylori infection,0,1,4.1362843852584306e-08,0.01277161376734326,6.696177082374526e-08
Primary bile acid biosynthesis,0,2,4.151990816456136e-08,0.026859191065342635,6.710288188211936e-08
Glycolysis / Gluconeogenesis,0,2,4.3188681340333515e-08,0.01852250157852023,6.96825782970087e-08
Protein digestion and absorption,0,2,4.388208712122116e-08,0.026034854310199324,7.06825564368663e-08
NF-kappa B signaling pathway,0,1,4.8925664882161815e-08,-0.024705099545332093,7.8674435991416e-08
Pathways of neurodegeneration,0,1,6.034448136800269e-08,-0.00547650464539845,9.687408380147588e-08
Protein export,1,2,6.102959016418346e-08,-0.012202893958034533,9.78103615319134e-08
Ubiquitin mediated proteolysis,0,1,6.460894900005796e-08,-0.008398232699774077,1.0337431840009274e-07
Gastric acid secretion,1,2,6.709534230037383e-08,0.013181584570555724,1.0717392447314288e-07
D-Glutamine and D-glutamate metabolism,0,2,7.186633793313745e-08,0.029236038179319385,1.146041269365647e-07
Peroxisome,0,1,7.942832769526428e-08,0.018047961965725695,1.2645305901733615e-07
RIG-I-like receptor signaling pathway,1,2,8.577639348194505e-08,0.01428682837384318,1.3633334063355504e-07
mTOR signaling pathway,0,1,8.91648294711898e-08,0.006949783788522762,1.4148468808651603e-07
Base excision repair,1,2,9.36651253130779e-08,-0.019001586176752794,1.4838039653556894e-07
One carbon pool by folate,0,1,1.0200486584280902e-07,-0.0239069987949452,1.613256527332729e-07
Tight junction,1,2,1.0726962961977974e-07,0.008284313690665734,1.6937309939965223e-07
Phagosome,0,2,1.0826842327425448e-07,0.019175944849085497,1.7066943570325828e-07
Insulin secretion,0,2,1.1001208213164741e-07,0.015042387645555245,1.7313376860062545e-07
"Growth hormone synthesis, secretion and action",1,2,1.1824419077988295e-07,0.012343910696497679,1.8578465327117453e-07
Bladder cancer,1,2,1.3106182355250202e-07,0.02015500549981547,2.055871742000032e-07
Viral carcinogenesis,1,2,1.5455047669873547e-07,0.010667205733782326,2.420366356130278e-07
Cardiac muscle contraction,1,2,1.7626324558983474e-07,-0.015003598637174459,2.755907422902954e-07
Carbohydrate digestion and absorption,0,1,1.9166738899480385e-07,0.012407356266641648,2.9918811940652306e-07
PPAR signaling pathway,1,2,2.1317264191195383e-07,0.027570016561429156,3.3221710427836957e-07
Carbohydrate digestion and absorption,1,2,2.2270419714915592e-07,0.0143745805935741,3.4650896152867047e-07
Pancreatic cancer,0,1,2.5058273327546954e-07,-0.008762998017312507,3.8925473130170025e-07
p53 signaling pathway,0,2,2.7000987320266866e-07,-0.01518259092564353,4.1875521530623897e-07
Amyotrophic lateral sclerosis,1,2,2.734437746922409e-07,-0.0053238165599624465,4.233968124266955e-07
Ether lipid metabolism,1,2,2.843478340585715e-07,0.015409973124750675,4.395715309118013e-07
Ribosome,0,1,3.100062737397233e-07,-0.010292549240818849,4.784662745822096e-07
Relaxin signaling pathway,0,1,3.131403037771449e-07,0.00989653209506744,4.825275949053918e-07
"Valine, leucine and isoleucine degradation",1,2,4.032371220047272e-07,-0.020602141956412884,6.203648030841956e-07
Protein export,0,1,4.0530917460851756e-07,-0.010621846417767866,6.22554892198683e-07
Vibrio cholerae infection,0,2,4.3395709940899924e-07,-0.010404834820025854,6.654933153876026e-07
Toll-like receptor signaling pathway,0,2,4.6529343936231897e-07,0.0168049665706628,7.124110076360865e-07
Synthesis and degradation of ketone bodies,1,2,7.294979674567035e-07,-0.035205739522246066,1.1151561285962348e-06
Pancreatic cancer,0,2,8.122470135866103e-07,0.00950743635057466,1.2396774770161304e-06
Ferroptosis,0,1,8.662737112681513e-07,0.013967441615702625,1.3200361314562305e-06
Galactose metabolism,0,1,8.838814502816595e-07,-0.019952572867828255,1.3447324758643312e-06
Intestinal immune network for IgA production,0,1,1.0574905634192976e-06,-0.03195757981925611,1.606314779877414e-06
Long-term depression,1,2,1.469188145848016e-06,0.01432994456187743,2.228152638252915e-06
Signaling pathways regulating pluripotency of stem cells,1,2,1.4841124065134936e-06,0.010688800360829892,2.2472364515030817e-06
Biosynthesis of unsaturated fatty acids,1,2,1.7168020662212822e-06,-0.024251947976985183,2.5937840798061844e-06
Lysine degradation,0,2,1.7183819528715972e-06,0.013048971529933423,2.5937840798061844e-06
Oxidative phosphorylation,0,1,1.8782377346685804e-06,-0.01424138374754963,2.830625157428316e-06
Pertussis,0,1,2.022992026253311e-06,-0.013996595139802975,3.044000541070813e-06
HIF-1 signaling pathway,0,1,2.7382675566769205e-06,0.01023667778473833,4.113829193129646e-06
Pathogenic Escherichia coli infection,0,1,3.061886844077783e-06,-0.007500941633995617,4.592830266116675e-06
Basal cell carcinoma,1,2,3.34320337591054e-06,0.016356417270923476,5.006981655029826e-06
Citrate cycle (TCA cycle),0,2,3.4810858689101263e-06,0.020179958554214228,5.2053620469684135e-06
Thyroid cancer,0,2,3.511694319291289e-06,0.011031331975790981,5.242965080123853e-06
Thyroid cancer,1,2,3.760631608819926e-06,0.011308681823874345,5.605910472775046e-06
Prion disease,0,2,4.320995606764954e-06,-0.008641799590941635,6.4312492751850475e-06
PD-L1 expression and PD-1 checkpoint pathway in cancer,0,1,4.54778998017722e-06,-0.01407306149619017,6.758325667136426e-06
Vasopressin-regulated water reabsorption,0,2,4.936069227613024e-06,0.01246795938201195,7.323997617478367e-06
Mannose type O-glycan biosynthesis,1,2,5.381666473208031e-06,-0.017126241483396545,7.972839219567453e-06
Long-term potentiation,1,2,5.5271919983019945e-06,0.012298805620204661,8.175815590708651e-06
Selenocompound metabolism,0,1,5.664545618116325e-06,0.01349478523874198,8.366098143679496e-06
Legionellosis,0,1,6.094560666727094e-06,-0.014596528891327926,8.987370568445486e-06
Calcium signaling pathway,1,2,6.722048099339305e-06,0.010499374336430646,9.897494133996523e-06
Arachidonic acid metabolism,1,2,7.071864500467751e-06,0.018188435244018194,1.0396615498390568e-05
Osteoclast differentiation,0,1,7.818944518514144e-06,-0.016229483476983164,1.1477349751947366e-05
Pentose and glucuronate interconversions,0,1,8.300958541855656e-06,0.025127687495937624,1.2166290381956382e-05
Th17 cell differentiation,0,1,8.83087203295807e-06,-0.01775930348324184,1.292322736530449e-05
Purine metabolism,0,1,8.92843130968516e-06,0.006157628863870043,1.3046109676252289e-05
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0,1,9.062769496114025e-06,-0.015352115511059278,1.3222277684300097e-05
Notch signaling pathway,1,2,9.678146275947104e-06,0.012429486732727507,1.4098665288177877e-05
Arrhythmogenic right ventricular cardiomyopathy,1,2,1.0182701065890846e-05,0.016735095349875564,1.4811201550386685e-05
Chemokine signaling pathway,0,1,1.0205968627222992e-05,-0.01660667925536162,1.4822586811095419e-05
Biosynthesis of unsaturated fatty acids,0,2,1.0324273980262836e-05,-0.026197657121122375,1.4971756829384173e-05
Non-alcoholic fatty liver disease,0,2,1.0590085136202235e-05,0.011199211105511975,1.533405992572269e-05
RNA transport,1,2,1.280083739609502e-05,-0.010354313965699524,1.8505407404064196e-05
Vitamin digestion and absorption,0,2,1.2818849920523636e-05,0.019414921308845718,1.8505407404064196e-05
Hippo signaling pathway,0,1,1.337291216999514e-05,0.008885385085532327,1.927626979458759e-05
Tryptophan metabolism,1,2,1.563765607800264e-05,0.014120465617852337,2.250697126669046e-05
Folate biosynthesis,0,1,1.6054096080326718e-05,0.01676852111052006,2.307175484597852e-05
Aminoacyl-tRNA biosynthesis,1,2,1.6921162012282868e-05,-0.013104459142663005,2.4281488089374517e-05
Vitamin B6 metabolism,0,1,1.736541672240038e-05,0.035465350491328526,2.488179112463338e-05
Type I diabetes mellitus,0,2,1.7646071367647974e-05,0.02313352424115675,2.524624219514464e-05
Neuroactive ligand-receptor interaction,1,2,1.8173884086540782e-05,0.008687045517527803,2.5962691552201117e-05
"Neomycin, kanamycin and gentamicin biosynthesis",0,1,2.052411518451787e-05,-0.026256117931211867,2.927659818296754e-05
Nitrogen metabolism,1,2,2.060587034076992e-05,-0.022470940278074402,2.9349607607031342e-05
cGMP-PKG signaling pathway,1,2,2.0996855951310654e-05,0.010310710850587643,2.9862195130752932e-05
Viral protein interaction with cytokine and cytokine receptor,0,1,2.1582442562699593e-05,-0.030494277671801413,3.064962257424794e-05
Terpenoid backbone biosynthesis,0,2,2.3391091049565145e-05,-0.0202855086664952,3.316905082360789e-05
Thermogenesis,0,1,2.4579890846238147e-05,0.007736530680622744,3.480338526900976e-05
Fc epsilon RI signaling pathway,0,1,2.6203740383533243e-05,-0.01053766045816934,3.704799818584965e-05
Arginine biosynthesis,0,1,2.6951473819418522e-05,0.01345727363121265,3.8049139509767326e-05
Taste transduction,0,1,2.8700705775386514e-05,0.00840972451648836,4.045914470539068e-05
Fructose and mannose metabolism,1,2,3.429122836151092e-05,-0.017399269935261807,4.826917775227344e-05
RNA polymerase,1,2,3.674992442806106e-05,-0.014349956333414071,5.165435937179886e-05
Th1 and Th2 cell differentiation,0,1,3.799692213539852e-05,-0.017945680322859925,5.3329013523366336e-05
Herpes simplex virus 1 infection,0,2,3.832095048493212e-05,-0.012715268684045863,5.3705273672313633e-05
Other glycan degradation,0,2,3.842071096106497e-05,-0.016339211922392155,5.3766592598574886e-05
Homologous recombination,1,2,4.075900507677137e-05,-0.02016119976950942,5.695581495444034e-05
cAMP signaling pathway,1,2,4.147154726991533e-05,0.00780197323096575,5.786727526034697e-05
Lysosome,1,2,4.169890989024269e-05,0.009289026613404805,5.810007764097676e-05
Lysosome,0,2,4.3316944264445196e-05,-0.010033280419995516,6.026705288966288e-05
Non-alcoholic fatty liver disease,0,1,5.1016255368159765e-05,0.008939258273636175,7.087641845648824e-05
Other types of O-glycan biosynthesis,1,2,5.3018251074225524e-05,0.013804810942132845,7.355133097002385e-05
mRNA surveillance pathway,0,1,5.489575814565693e-05,-0.007895340760091185,7.604607189008752e-05
Systemic lupus erythematosus,1,2,6.032994495803646e-05,0.022132089655120916,8.345352616673631e-05
Maturity onset diabetes of the young,0,2,6.925459861803162e-05,-0.016504870850547804,9.566102830692137e-05
Glioma,0,1,7.590011345874797e-05,0.00854833892240811,0.00010468981166723859
Glutathione metabolism,0,2,7.658685500223758e-05,0.014875765270183056,0.00010548548178213496
Influenza A,0,2,9.126476234276147e-05,0.011929987330784875,0.00012552173617342552
mTOR signaling pathway,0,2,9.148887298162123e-05,0.005512576722860707,0.0001256499543095227
Lipid and atherosclerosis,0,1,9.941686620937952e-05,-0.008508486341382515,0.00013634313080143477
Thyroid hormone signaling pathway,1,2,0.00010541766774578058,0.009033825610689133,0.00014436656353202475
Terpenoid backbone biosynthesis,1,2,0.0001083702412461214,-0.01868829584174686,0.00014819862050751646
"Glycine, serine and threonine metabolism",1,2,0.0001110488708023873,-0.014288752393396768,0.00015164568416826715
Sulfur relay system,1,2,0.0001112355807075891,-0.03100661748146752,0.00015168488278307604
Tight junction,0,1,0.00011250219841325462,0.006694203342936578,0.0001531944829457084
Nicotine addiction,0,2,0.00012975217852099986,0.01651890758841118,0.00017643355719569386
Cushing syndrome,1,2,0.00015568471673094576,0.006532453173213021,0.00021139650362334928
Sulfur relay system,0,1,0.00015871874440747912,-0.02780534078707872,0.0002152118568237005
mRNA surveillance pathway,1,2,0.00016181071956470532,-0.007891079258423972,0.0002190949094247068
Glycosphingolipid biosynthesis,0,2,0.0001711415733292174,-0.01439086705986645,0.00023140269069866012
Primary immunodeficiency,0,2,0.00017205989633336198,0.026641458020880738,0.00023231715960622717
Other glycan degradation,0,1,0.00018572599566216128,-0.012545646392757598,0.0002504170728029141
Fructose and mannose metabolism,0,1,0.00019330488854189747,-0.01617472037681611,0.00026027025666230236
Fatty acid elongation,0,2,0.00021890249841405204,-0.017018770697176555,0.00029432268694326325
Parkinson disease,1,2,0.0002635068238537662,-0.005769401166026533,0.0003537993718875742
Hematopoietic cell lineage,0,1,0.00026469572003700453,-0.02182390369675255,0.0003548992894350899
Diabetic cardiomyopathy,1,2,0.00032031460154873686,0.005857088369692509,0.00042887310667613307
Galactose metabolism,1,2,0.00032642202139822904,0.014874017862551742,0.0004364416999196377
Cardiac muscle contraction,0,1,0.0003312301709232995,0.007954544121324389,0.0004422544702174792
Mucin type O-glycan biosynthesis,0,1,0.00037236438832385937,0.012006508385197491,0.0004964858510984792
Glutathione metabolism,0,1,0.0004055141026700796,0.011146959799860273,0.0005399355597271517
AGE-RAGE signaling pathway in diabetic complications,0,1,0.00043460868901646195,0.011540295138926904,0.0005778730491077611
Hypertrophic cardiomyopathy,1,2,0.000445802424319035,0.013838232007784106,0.0005919368289713328
Mismatch repair,1,2,0.0004619538273319366,-0.01905692894267788,0.0006125354616556065
Pyruvate metabolism,1,2,0.00046649732991563405,-0.011104347888089922,0.0006177068092675981
Thyroid hormone synthesis,1,2,0.0004719584983245659,0.009328139272942501,0.0006240773531564508
Thiamine metabolism,1,2,0.0004786353641233032,-0.0162583065775162,0.0006320356940280207
Renin-angiotensin system,1,2,0.0005726648893800189,0.021365708208760964,0.0007551624914901349
SNARE interactions in vesicular transport,1,2,0.0005825069749962649,-0.007672680342719285,0.0007670873744806781
"Phenylalanine, tyrosine and tryptophan biosynthesis",0,2,0.0006084096741647214,0.03371965446161089,0.0008001003934220995
Caffeine metabolism,1,2,0.000638024727868903,-0.0602413725075398,0.0008378984114283815
RNA degradation,0,1,0.000658031689182882,-0.00751126299709462,0.0008629923792562388
Toxoplasmosis,0,1,0.0007146541502407112,-0.008878353472682815,0.000935972693357548
RNA degradation,1,2,0.0007653850940510718,-0.007947041366315799,0.001001048624371974
Taste transduction,1,2,0.0007773756093488924,-0.008540977712543751,0.0010153477346597779
Hepatitis C,0,2,0.0008821039814752459,0.0072707756903141185,0.0011505704106198858
Vitamin digestion and absorption,1,2,0.0009585790972791991,-0.011676174327944565,0.0012486240615848456
Chagas disease,0,1,0.0009718458114280937,-0.008055149544673262,0.0012641896734023983
Coronavirus disease,0,1,0.0010640745338334609,-0.0060851446750519456,0.0013822889749392725
Amoebiasis,0,1,0.0010658886425888477,0.010049578238992413,0.0013827744552503969
Alzheimer disease,0,2,0.001091798000756709,-0.003662206581273475,0.0014144751426807569
Sulfur metabolism,0,2,0.0011564632903470916,-0.01579886798204433,0.0014962328284814123
Phototransduction,0,2,0.0011982907160838464,-0.009882975770426378,0.001546181569140447
Linoleic acid metabolism,0,2,0.0011967552510123265,0.013639377157887045,0.001546181569140447
Other types of O-glycan biosynthesis,0,2,0.0012260471731650167,0.01065090211609912,0.0015798728674341156
Citrate cycle (TCA cycle),1,2,0.00139663452740281,-0.008017731931090732,0.00179727767601434
IL-17 signaling pathway,0,2,0.0014051399582053288,0.013454077049697755,0.001805802355926527
Arginine and proline metabolism,1,2,0.001492381153559261,-0.00933649040363621,0.0019153554911990516
Shigellosis,0,1,0.0015345663356770205,-0.003265901595928933,0.00196686739953263
Mineral absorption,1,2,0.0016211580636913763,0.01074332523210772,0.002075082321524962
Spinocerebellar ataxia,0,2,0.001725725588338802,-0.005008210564268478,0.0022059874364916774
Transcriptional misregulation in cancer,0,1,0.0018215438505282484,0.005692601529966479,0.0023253751283339344
Legionellosis,0,2,0.0018720722733458351,0.009990152588634837,0.0023867056871341324
Human immunodeficiency virus 1 infection,0,2,0.0020183408843121144,0.004392272697642752,0.002569770887187838
Parkinson disease,0,1,0.0020854770356968488,-0.005169192910394305,0.0026517323897602314
Apoptosis,0,2,0.0022248921400740006,0.005933317673257221,0.0028252598604114293
p53 signaling pathway,1,2,0.0022670082214845968,0.008619957945159795,0.002874937770971219
Central carbon metabolism in cancer,0,1,0.0025975934721727077,0.0060579884527905414,0.0032898281441765165
Dilated cardiomyopathy,1,2,0.0026430423829890202,0.011958953153634537,0.003342978508128405
Purine metabolism,0,2,0.002723521985262,0.004742970382902542,0.0034402382971730526
Alzheimer disease,0,1,0.0027390826471236527,-0.0032145234340519024,0.0034553473603662374
Non-homologous end-joining,1,2,0.0028713101324271493,-0.009017473298076562,0.003617398592034204
Retrograde endocannabinoid signaling,1,2,0.0031507048867707474,-0.0052410175591865865,0.003964189634731215
Acute myeloid leukemia,0,1,0.0033302916687815687,0.0066067270932090305,0.0041846596885213435
Steroid biosynthesis,1,2,0.003420155450226629,-0.014878793324754391,0.0042919597806765535
DNA replication,1,2,0.003822108846582941,-0.01716770911828991,0.004790110303811519
Aldosterone synthesis and secretion,1,2,0.003866176905206636,0.007366809011730792,0.0048390219413277325
Regulation of lipolysis in adipocytes,1,2,0.004060439029459279,0.0148116212397656,0.005075548786824098
Oocyte meiosis,1,2,0.004164657339920485,-0.007527647136151033,0.005199052075843519
Mucin type O-glycan biosynthesis,1,2,0.004829643007958683,0.011985015562252097,0.006021373100831604
Folate biosynthesis,0,2,0.0050480092966854245,0.013122965211236515,0.00628545904645656
Glycosphingolipid biosynthesis,1,2,0.005854645656935714,0.011435257309576924,0.007280388381681716
SNARE interactions in vesicular transport,0,1,0.00591360968393197,0.005759585235403181,0.007344198313809433
Diabetic cardiomyopathy,0,1,0.00605262522648185,-0.005362910751795957,0.007507132063853457
Pyrimidine metabolism,1,2,0.006729259371229613,-0.0072568515593534055,0.008335598705007004
Glycerolipid metabolism,1,2,0.0069757012305089565,0.006965201197131052,0.008629733481042007
Spliceosome,1,2,0.007811621617315956,-0.005488699928181684,0.009651424392050603
Cell adhesion molecules,0,1,0.008185138769701936,-0.010600478624679305,0.010099914163128353
Ribosome,1,2,0.00837967404228201,-0.00545067485606493,0.010326684313980398
Necroptosis,0,2,0.008779352214372467,0.00429228562864975,0.010805356571535344
Lysine degradation,1,2,0.008960061666447229,-0.006842742582712419,0.011013648143136158
Spinocerebellar ataxia,0,1,0.009147183588752479,-0.0033623310109048843,0.011229279085936546
Estrogen signaling pathway,1,2,0.009302922756442056,0.0060611368426335965,0.01140588230674888
Glycosaminoglycan degradation,0,1,0.00952625254561265,-0.008717571097100973,0.011664799035444061
Circadian entrainment,1,2,0.009539899310123678,0.007577586110135502,0.01166662845569265
"Neomycin, kanamycin and gentamicin biosynthesis",0,2,0.009689167359188448,-0.014619502327275477,0.01183409753794009
Ubiquitin mediated proteolysis,1,2,0.01052021683677967,-0.004564773829187241,0.012832793091878632
"Phenylalanine, tyrosine and tryptophan biosynthesis",1,2,0.01058785696060069,0.02053336009606825,0.012898912033219115
Alcoholism,1,2,0.010663595203415577,-0.00879896527443342,0.012974716597311729
Herpes simplex virus 1 infection,1,2,0.011116321406605123,-0.006855706318837029,0.013508441202963187
Basal cell carcinoma,0,1,0.011146702938841362,0.007968893374682248,0.013528236183675988
Insulin resistance,1,2,0.011909497582370122,0.005243030296488732,0.014435754645297118
Cardiac muscle contraction,0,2,0.012527554193481439,-0.00704905451585007,0.015165765480128855
Glycolysis / Gluconeogenesis,1,2,0.012923814569613279,-0.0063820138858552145,0.015625770764267945
Drug metabolism,1,2,0.013277147405580057,-0.008772480520177275,0.01603278177277592
Amphetamine addiction,1,2,0.014645990830761154,0.0069460237976779055,0.01764666730455735
Phosphonate and phosphinate metabolism,1,2,0.014650410251804382,-0.014434498385266337,0.01764666730455735
Fatty acid elongation,0,1,0.014701183272750051,0.008972110992883753,0.01768563401233089
GABAergic synapse,1,2,0.01477630206913484,0.005259191077116684,0.01775375467630719
Non-small cell lung cancer,0,1,0.014977907892814602,0.005165122978590314,0.017973489471377523
Vitamin B6 metabolism,1,2,0.015344336562663942,0.020327774315094777,0.018390216105065398
Linoleic acid metabolism,1,2,0.016250578927136366,-0.010171515787574997,0.019452064551185675
Platelet activation,0,1,0.01700720869007541,0.00628873058742771,0.020332403913415186
Herpes simplex virus 1 infection,0,1,0.01717025181478972,-0.005859562365208834,0.020501793211689216
Cytosolic DNA-sensing pathway,0,2,0.01800714591506313,-0.008536958100519063,0.0214743603459138
Endocrine and other factor-regulated calcium reabsorption,1,2,0.01888262930277846,0.005825943989461249,0.02249047658891727
Pentose and glucuronate interconversions,1,2,0.019273562778636177,-0.014235696434667437,0.02292765832402817
"Alanine, aspartate and glutamate metabolism",1,2,0.019651556868992975,-0.006465711627587661,0.023348384398803535
Kaposi sarcoma-associated herpesvirus infection,0,1,0.019866025867671954,-0.00457859927481824,0.023574023279314064
Ubiquinone and other terpenoid-quinone biosynthesis,0,2,0.021675473259448,0.012864979551371558,0.025689449788975405
Caffeine metabolism,0,2,0.024555295884968586,-0.037780514193026915,0.029066688100579337
Histidine metabolism,1,2,0.02575050307126972,-0.011703368578586414,0.030443944517757306
Ribosome biogenesis in eukaryotes,1,2,0.027470700031091155,-0.00822079744451093,0.03243772697398217
Collecting duct acid secretion,1,2,0.02753824878185049,-0.006655239047381717,0.03247754156090475
beta-Alanine metabolism,1,2,0.03058676592019149,-0.008833501392221665,0.03602858316979611
Nicotinate and nicotinamide metabolism,1,2,0.03253309829809918,-0.006271931333708736,0.03827423329188139
Arginine and proline metabolism,0,2,0.0333318054304945,-0.0064952282015815765,0.03916589132591765
Serotonergic synapse,1,2,0.033933455661132005,0.0052534843871307885,0.0398241044433823
alpha-Linolenic acid metabolism,0,1,0.034244962627467096,0.009339915734868712,0.04014061553402736
Selenocompound metabolism,0,2,0.03489956371814519,0.006699141915722517,0.0408580258163651
Cytokine-cytokine receptor interaction,0,1,0.036054976732942084,-0.00885133997195639,0.04215929069868989
Arginine biosynthesis,1,2,0.03617866720275582,-0.008342788841433892,0.042252458047014094
Metabolism of xenobiotics by cytochrome P450,1,2,0.0366754198676721,-0.0114614734137225,0.04278056266459929
Selenocompound metabolism,1,2,0.03753654381650677,-0.006795643323019462,0.04373189570855158
Steroid hormone biosynthesis,1,2,0.04187364532539875,-0.009766699181406518,0.04872569637864582
Chemical carcinogenesis,1,2,0.04219784641859365,0.0035563591262434274,0.049043501890859445
alpha-Linolenic acid metabolism,0,2,0.04439926989091154,0.00928962477749623,0.051539660332859824
Dopaminergic synapse,1,2,0.045151536225928664,0.004275808317176055,0.052349607218468014
"Neomycin, kanamycin and gentamicin biosynthesis",1,2,0.04667914698494165,0.01163661560393639,0.054055465748545216
Sulfur metabolism,1,2,0.04788027410802728,-0.009930505637255782,0.0553795941490436
"Glycine, serine and threonine metabolism",0,2,0.050706728839155286,0.007854543073292329,0.05857817050010719
Phototransduction,0,1,0.05174118474195034,-0.005722283665381495,0.0597013670099427
Circadian rhythm,1,2,0.05323983809266481,-0.009486399351057384,0.06135683621723676
Pancreatic secretion,1,2,0.05348137634118775,0.006477925921002395,0.06156129650784201
Retrograde endocannabinoid signaling,0,2,0.05762449956602059,0.0038599145044426186,0.06625092165674223
Olfactory transduction,1,2,0.06157095725054019,-0.0015240315687962136,0.07070349157956768
Ascorbate and aldarate metabolism,1,2,0.07207696181327629,-0.012050182184278637,0.08266891677508392
Porphyrin and chlorophyll metabolism,0,2,0.07276356753426694,-0.008208143885663405,0.08335683154283563
Cysteine and methionine metabolism,0,2,0.07655730946965404,0.0050192406230142594,0.0875983517173634
Porphyrin and chlorophyll metabolism,1,2,0.08125705029233433,-0.007019590626509489,0.09286520033409638
Taurine and hypotaurine metabolism,1,2,0.08278590373481604,-0.012061694657712209,0.09449996145710272
"Alanine, aspartate and glutamate metabolism",0,1,0.08433406924431906,0.005010284635944232,0.09615285804577946
Antigen processing and presentation,0,2,0.08764574407436888,0.005647959811468595,0.09981010001351616
VEGF signaling pathway,0,1,0.09475087682106453,-0.0036382006472164274,0.10764596656594314
Phosphatidylinositol signaling system,1,2,0.09474520942817316,0.0040809540522653565,0.10764596656594314
Pentose and glucuronate interconversions,0,2,0.09650883446633808,0.010891991061270187,0.10951357102563186
Peroxisome,0,2,0.09731805200554208,-0.005790707879101492,0.11030145209600992
Malaria,0,1,0.09804761671138167,0.011354770580772139,0.11099730193741321
Prion disease,1,2,0.10429971194294453,0.002448417923786861,0.11793607004149205
Measles,0,2,0.1113063969967069,0.0036664222564361804,0.12571075425510428
Sphingolipid signaling pathway,0,1,0.11862230528395358,-0.002355350494994496,0.13381599656004164
Proteasome,1,2,0.11983217133851824,0.004861751704991146,0.13502216488847127
Protein digestion and absorption,0,1,0.12129609474623369,-0.005743863659705337,0.1365114313673908
Glutamatergic synapse,1,2,0.12201388646815628,0.004197657618449646,0.13715846722415695
Phosphonate and phosphinate metabolism,0,2,0.1239150894029092,-0.008274007207394851,0.13913273196116122
Progesterone-mediated oocyte maturation,1,2,0.12694408927160925,-0.004438640148760373,0.14236720292143093
"Phenylalanine, tyrosine and tryptophan biosynthesis",0,1,0.13233982724843973,0.013186294365542639,0.1482453140705976
Caffeine metabolism,0,1,0.13413362186201735,0.022460858314512888,0.15007957690855087
Fat digestion and absorption,1,2,0.13690280401364213,0.005859646832088464,0.15299964127252205
Epstein-Barr virus infection,0,2,0.15694852717380564,-0.00339116521884944,0.1751983559149458
Longevity regulating pathway,1,2,0.1587786790168262,0.003068243115343955,0.17703546092468428
Non-alcoholic fatty liver disease,1,2,0.16435524339028584,0.0022599528318758,0.18304064229080558
Small cell lung cancer,0,1,0.1736639981286598,0.0030436729772957416,0.19318359003883362
Various types of N-glycan biosynthesis,1,2,0.1740008153315049,-0.0035758960020089714,0.19333423925722767
Cellular senescence,0,2,0.17476630818994535,0.002773865371276385,0.19396029579462143
Nicotinate and nicotinamide metabolism,0,1,0.17504469488148067,0.00445503695988933,0.19404492735129497
Phototransduction,1,2,0.18057819450251356,-0.004160692105044883,0.19994817384361363
MicroRNAs in cancer,0,1,0.18343704757518436,0.003233648275584672,0.20287968395412095
Proximal tubule bicarbonate reclamation,1,2,0.20050943463478216,-0.0047155774686098995,0.22150639499354532
Human cytomegalovirus infection,0,1,0.20085592433197952,-0.002492951090223794,0.2215098599208125
Sulfur metabolism,0,1,0.20097404999065385,-0.005868362344788547,0.2215098599208125
Arginine biosynthesis,0,2,0.20946241460028733,0.005114484789778759,0.23060082341316038
Glycosaminoglycan degradation,0,2,0.2132403622773232,-0.004963784038761965,0.23449112003004613
Cysteine and methionine metabolism,0,1,0.21671658538458272,0.0034738146314451934,0.23804110065125791
Galactose metabolism,0,2,0.22024892050743813,-0.005078555005276514,0.24164452992816068
Type II diabetes mellitus,1,2,0.22437708869231224,0.003781990979955477,0.24589269993678053
Phosphonate and phosphinate metabolism,0,1,0.22653172275477515,0.0061604911778714855,0.2479708709744403
ABC transporters,1,2,0.24227642231107824,0.004222802993037053,0.26490360526040446
Other types of O-glycan biosynthesis,0,1,0.24299889152970497,-0.0031539088260337245,0.2651161503116371
Autophagy,1,2,0.2430231377856673,0.0020567702347219496,0.2651161503116371
