pathway,cluster1,cluster2,pvalue,effect_size,adj_p
Human cytomegalovirus infection,1,2,1.2152782707721634e-35,0.028833602860397017,1.3257581135696328e-34
Signaling pathways regulating pluripotency of stem cells,0,2,1.2363741679770735e-35,0.030589952502974194,1.333617080065158e-34
Fatty acid degradation,0,2,1.3875569399133802e-35,0.07219468215083083,1.4800607359076055e-34
Inflammatory mediator regulation of TRP channels,0,2,1.5408227715183013e-35,0.033647646697877995,1.6133714034277834e-34
C-type lectin receptor signaling pathway,1,2,1.546147594951626e-35,0.03852142422308533,1.6133714034277834e-34
FoxO signaling pathway,0,2,1.9686447960380706e-35,0.03694143142998227,2.0321494668780083e-34
Hematopoietic cell lineage,1,2,2.0238067645271237e-35,0.0986105976930769,2.0668664829213178e-34
Malaria,1,2,2.4887331371806147e-35,0.10149237880053627,2.5149303280983053e-34
Pathogenic Escherichia coli infection,1,2,3.245676310818729e-35,0.024392995715053017,3.245676310818729e-34
Aldosterone synthesis and secretion,0,1,4.1647189160087194e-35,0.03606548733059658,4.121783669451928e-34
Lipid and atherosclerosis,1,2,4.901649296268838e-35,0.0323493705127223,4.801615637161311e-34
Epithelial cell signaling in Helicobacter pylori infection,0,2,6.278248633001135e-35,0.033400172609829415,6.087998674425344e-34
Inflammatory bowel disease,1,2,6.576702984516114e-35,0.07368298029964498,6.313634865135469e-34
Cell cycle,0,2,8.138317845028072e-35,-0.06119606959498322,7.73543082299698e-34
GnRH signaling pathway,0,2,8.484042021907283e-35,0.03428019837287541,7.984980726500973e-34
"Growth hormone synthesis, secretion and action",0,2,1.0900172711439164e-34,0.036489563951268844,1.0159384274739415e-33
Butanoate metabolism,0,1,1.1023117624349727e-34,0.06416030716241075,1.0175185499399748e-33
Notch signaling pathway,0,2,1.5623515848036272e-34,0.04041512798814956,1.428435734677602e-33
Phenylalanine metabolism,0,2,1.8051239502773729e-34,0.112430582910124,1.634829237987055e-33
NF-kappa B signaling pathway,1,2,2.255027188601467e-34,0.06761063086900333,2.0232019636050545e-33
Th17 cell differentiation,0,2,2.6143099139231197e-34,0.04818432015779628,2.3238310345983284e-33
Retinol metabolism,0,1,3.0971535189796834e-34,0.0666342557093483,2.7277682368995376e-33
Fc epsilon RI signaling pathway,1,2,3.248644440854568e-34,0.03786061343143651,2.8351806029276233e-33
Cell adhesion molecules,0,2,4.002974950222528e-34,0.05814345886801574,3.4620323893816455e-33
Hematopoietic cell lineage,0,2,4.371724717640595e-34,0.07678669399632435,3.74719261512051e-33
Toxoplasmosis,0,2,4.61724102292565e-34,0.03918380284772349,3.9226118424855075e-33
Aldosterone synthesis and secretion,0,2,5.213274057723962e-34,0.04343229634232737,4.390125522293863e-33
Kaposi sarcoma-associated herpesvirus infection,0,2,8.647186544794368e-34,0.027657777514499576,7.218520941741385e-33
Chemokine signaling pathway,1,2,1.3973415061237e-33,0.05478254556738252,1.1564205567920276e-32
Insulin signaling pathway,0,1,2.8291731819380924e-33,0.028826199232928756,2.3213728672312553e-32
Ether lipid metabolism,0,2,3.0714218732911628e-33,0.03583583001107702,2.4987838969148444e-32
AGE-RAGE signaling pathway in diabetic complications,1,2,3.342984498887525e-33,0.04026711429937366,2.6968614444806925e-32
C-type lectin receptor signaling pathway,0,2,4.068160153648248e-33,0.03636639297782335,3.2545281229185984e-32
Systemic lupus erythematosus,0,1,4.123779220370287e-33,-0.06643398137307971,3.2717587202937817e-32
Wnt signaling pathway,0,2,6.691975645905176e-33,0.03087762710286203,5.265816901695876e-32
Amphetamine addiction,0,2,8.498345518821544e-33,0.03637953676645925,6.63285503908023e-32
Histidine metabolism,0,1,1.1292078417698026e-32,0.06047944929634789,8.742254258862986e-32
PD-L1 expression and PD-1 checkpoint pathway in cancer,1,2,1.281544447020474e-32,0.04529631377904075,9.84226135311724e-32
