pathway,cluster1,cluster2,pvalue,effect_size,adj_p,Pathway,Importance
Acute myeloid leukemia,0,2,6.222320249445092e-46,0.0449512268657305,2.986713719733645e-44,Acute myeloid leukemia,0.0101457844182599
Acute myeloid leukemia,1,2,3.011177892770474e-37,0.0383444997725214,4.588461550888341e-36,Acute myeloid leukemia,0.0101457844182599
Homologous recombination,0,2,8.685533712713209e-44,-0.0694994457596763,3.0881897645202515e-42,Homologous recombination,0.0100362647532038
Homologous recombination,0,1,3.446228488955998e-25,-0.0493382459901669,1.3900753568898142e-24,Homologous recombination,0.0100362647532038
Homologous recombination,1,2,4.075900507677137e-05,-0.0201611997695094,5.695581495444034e-05,Homologous recombination,0.0100362647532038
Th1 and Th2 cell differentiation,0,2,1.502870635148327e-38,0.0558068310270268,2.722180773098857e-37,Th1 and Th2 cell differentiation,0.0098634291363087
Th1 and Th2 cell differentiation,1,2,1.345404834226683e-37,0.0737525113498867,2.117358427635436e-36,Th1 and Th2 cell differentiation,0.0098634291363087
Th1 and Th2 cell differentiation,0,1,3.799692213539852e-05,-0.0179456803228599,5.3329013523366336e-05,Th1 and Th2 cell differentiation,0.0098634291363087
Choline metabolism in cancer,0,2,3.2574369469871286e-51,0.0417758800175141,3.127139469107644e-49,Choline metabolism in cancer,0.0096486190445523
Choline metabolism in cancer,0,1,9.613193480065546e-36,0.023805449568036,1.0731006675422003e-34,Choline metabolism in cancer,0.0096486190445523
Choline metabolism in cancer,1,2,3.0321395121062817e-17,0.017970430449478,7.845967470679325e-17,Choline metabolism in cancer,0.0096486190445523
MAPK signaling pathway,0,2,4.9658004554136986e-58,0.0432224873824504,1.1917921092992876e-55,MAPK signaling pathway,0.0090141669856253
MAPK signaling pathway,0,1,1.400055323224533e-32,0.0249683167424313,1.0667088176948823e-31,MAPK signaling pathway,0.0090141669856253
MAPK signaling pathway,1,2,1.2619051419865517e-18,0.0182541706400191,3.491149672354725e-18,MAPK signaling pathway,0.0090141669856253
Amphetamine addiction,0,2,8.498345518821544e-33,0.0363795367664592,6.63285503908023e-32,Amphetamine addiction,0.0088736339523139
Amphetamine addiction,0,1,1.3397541333298716e-30,0.0294335129687813,8.089081559727527e-30,Amphetamine addiction,0.0088736339523139
PD-L1 expression and PD-1 checkpoint pathway in cancer,1,2,1.281544447020474e-32,0.0452963137790407,9.842261353117241e-32,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.0086378887480875
PD-L1 expression and PD-1 checkpoint pathway in cancer,0,2,1.0211588295244872e-30,0.0312232522828505,6.324596621571018e-30,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.0086378887480875
PD-L1 expression and PD-1 checkpoint pathway in cancer,0,1,4.54778998017722e-06,-0.0140730614961901,6.758325667136426e-06,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.0086378887480875
Oxytocin signaling pathway,0,2,7.106901579768491e-46,0.0422285310406215,3.2488692936084533e-44,Oxytocin signaling pathway,0.0080713996524111
Oxytocin signaling pathway,0,1,5.404086208241482e-36,0.0286766992941624,6.404842913471386e-35,Oxytocin signaling pathway,0.0080713996524111
Oxytocin signaling pathway,1,2,2.0316546397596782e-10,0.013551831746459,3.707962840626029e-10,Oxytocin signaling pathway,0.0080713996524111
Lipid and atherosclerosis,1,2,4.901649296268838e-35,0.0323493705127223,4.801615637161311e-34,Lipid and atherosclerosis,0.0078278734728689
Lipid and atherosclerosis,0,2,3.3927721028276163e-22,0.0238408841713397,1.1590965191154844e-21,Lipid and atherosclerosis,0.0078278734728689
Lipid and atherosclerosis,0,1,9.941686620937952e-05,-0.0085084863413825,0.0001363431308014,Lipid and atherosclerosis,0.0078278734728689
Human cytomegalovirus infection,1,2,1.2152782707721634e-35,0.028833602860397,1.3257581135696326e-34,Human cytomegalovirus infection,0.0073789791071515
Human cytomegalovirus infection,0,2,4.537042704795888e-30,0.0263406517701732,2.608120357247936e-29,Human cytomegalovirus infection,0.0073789791071515
Cell cycle,0,2,8.138317845028071e-35,-0.0611960695949832,7.73543082299698e-34,Cell cycle,0.0066809517186053
Cell cycle,0,1,1.99000838455002e-30,-0.0587516621053484,1.1792642278814929e-29,Cell cycle,0.0066809517186053
Phospholipase D signaling pathway,0,2,9.580300065306985e-53,0.0505611907602328,1.1496360078368382e-50,Phospholipase D signaling pathway,0.0066568588235718
Phospholipase D signaling pathway,1,2,4.388176683844351e-27,0.0256426926728823,1.9777697730002708e-26,Phospholipase D signaling pathway,0.0066568588235718
Phospholipase D signaling pathway,0,1,1.519174009430383e-25,0.0249184980873504,6.31345042880159e-25,Phospholipase D signaling pathway,0.0066568588235718
